団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数,人口
011002,北海道,札幌市,0.70,98.0,3.2,22.2,99.2,1955678
012025,北海道,函館市,0.48,95.1,5.0,38.2,97.6,236515
012033,北海道,小樽市,0.47,95.0,3.6,26.6,96.3,104432
012041,北海道,旭川市,0.53,96.2,9.1,84.2,98.7,316183
012050,北海道,室蘭市,0.62,89.9,10.1,58.2,98.1,74855
012068,北海道,釧路市,0.45,95.7,10.3,38.5,98.9,154271
012076,北海道,帯広市,0.60,91.1,8.2,10.3,99.1,160810
012084,北海道,北見市,0.44,98.8,12.5,153.5,96.3,110046
012092,北海道,夕張市,0.19,125.6,68.1,104.5,91.5,6107
012106,北海道,岩見沢市,0.38,99.5,10.8,80.1,99.2,74204
012114,北海道,網走市,0.45,96.4,15.8,123.9,96.3,32199
012122,北海道,留萌市,0.32,99.4,8.8,-,95.1,18169
012131,北海道,苫小牧市,0.75,89.7,8.5,79.1,98.1,165590
012149,北海道,稚内市,0.40,92.7,10.8,45.4,92.2,30336
012157,北海道,美唄市,0.26,92.5,10.1,74.5,95.8,18427
012165,北海道,芦別市,0.25,90.0,6.2,74.3,94.2,11243
012173,北海道,江別市,0.52,91.2,4.4,-,97.9,118055
012181,北海道,赤平市,0.18,98.1,13.1,43.3,95.2,8464
012190,北海道,紋別市,0.34,79.0,9.3,-,94.8,19760
012203,北海道,士別市,0.25,96.9,13.9,92.6,97.5,16440
012211,北海道,名寄市,0.27,97.2,9.9,21.8,99.9,24742
012220,北海道,三笠市,0.19,94.0,11.9,26.0,97.4,7268
012238,北海道,根室市,0.34,89.3,8.6,-,98.7,22468
012246,北海道,千歳市,0.71,88.8,7.0,-,97.2,97355
012254,北海道,滝川市,0.39,90.4,6.5,1.4,98.0,36515
012262,北海道,砂川市,0.30,89.2,6.9,41.5,99.3,15231
012271,北海道,歌志内市,0.11,98.6,7.9,-,94.4,2584
